ref;Number;Anion;Cation;Antimicrobial
AB.70;AB.70;AB.70;AB.70;"E.coli:11;S.aureus:12;C.tropicalis:13;IZDmm(1000ug/mL)"
AB.71;AB.71;AB.71;AB.71;"E.coli:13;S.aureus:15;C.tropicalis:13;IZDmm(1000ug/mL)"
AB.72;AB.72;AB.72;AB.72;"E.coli:10;S.aureus:19;B.subtilis:16;C.albicans:21;IZDmm(400ug/mL)"
AB.73;AB.73;AB.73;AB.73;"E.coli:11;S.aureus:16;B.subtilis:14;C.albicans:18;IZDmm(400ug/mL)"
AB.74;AB.74;AB.74;AB.74;"E.coli:11;S.aureus:11;B.subtilis:13;C.albicans:20;IZDmm(400ug/mL)"
AB.75;AB.75;AB.75;AB.75;"E.coli:5.16;S.aureus:7.82;Bacteriostatic(%)(50ug/mL)"
AB.76;AB.76;AB.76;AB.76;"E.coli:100;S.aureus:100;Bacteriostatic(%)(50ug/mL)"
AB.77;AB.77;AB.77;AB.77;"E.coli:100;S.aureus:10.43;Bacteriostatic(%)(50ug/mL)"
AB.78;AB.78;AB.78;AB.78;"E.coli(MTCC739):31.2;P.aeruginosa(MTCC2453):>125;K.planticola(MTCC530):15.6;S.aureus(MTCC96):3.9;B.subtilis(MTCC121):7.8;S.aureus(mLS16MTCC2940):7.8;M.luteus(MTCC2470):3.9;C.albicans(MTCC3017):15.6;C.albicans(MTCC183):15.6;C.albicans(MTCC277):31.2;C.albicans(MTCC854):15.6;C.albicans(MTCC1637):31.2;C.albicans(MTCC3018):15.6;C.albicans(MTCC3958):31.2;C.albicans(MTCC4748):15.6;C.albicans(MTCC7315):15.6;C.parapsilosis(MTCC1744):15.6;C.aaseri(MTCC1962):31.2;C.glabrata(MTCC3019):15.6;C.krusei(MTCC3020):15.6;Issatchenikiahanoiensis(MTCC4755):15.6;MIC(ug/mL)"
AB.79;AB.79;AB.79;AB.79;"E.coli(MTCC739):15.6;P.aeruginosa(MTCC2453):>125;K.planticola(MTCC530):7.8;S.aureus(MTCC96):15.6;B.subtilis(MTCC121):15.6;S.aureus(mLS16MTCC2940):7.8;M.luteus(MTCC2470):7.8;C.albicans(MTCC3017):31.2;C.albicans(MTCC183):31.2;C.albicans(MTCC277):31.2;C.albicans(MTCC854):31.2;C.albicans(MTCC1637):62.5;C.albicans(MTCC3018):62.5;C.albicans(MTCC3958):62.5;C.albicans(MTCC4748):15.6;C.albicans(MTCC7315):31.2;C.parapsilosis(MTCC1744):62.5;C.aaseri(MTCC1962):31.2;C.glabrata(MTCC3019):31.2;C.krusei(MTCC3020):62.5;Issatchenikiahanoiensis(MTCC4755):31.2;MIC(ug/mL)"
AB.80;AB.80;AB.80;AB.80;"E.coli(MTCC739):>125;P.aeruginosa(MTCC2453):>125;K.planticola(MTCC530):>125;S.aureus(MTCC96):>125;B.subtilis(MTCC121):>125;S.aureus(mLS16MTCC2940):>125;M.luteus(MTCC2470):>125;C.albicans(MTCC3017):>125;MIC(ug/mL)"
AB.81;AB.81;AB.81;AB.81;"E.coli(MTCC739):>125;P.aeruginosa(MTCC2453):>125;K.planticola(MTCC530):>125;S.aureus(MTCC96):3.9;B.subtilis(MTCC121):7.8;S.aureus(mLS16MTCC2940):3.9;M.luteus(MTCC2470):1.9;C.albicans(MTCC3017):7.8;C.albicans(MTCC183):15.6;C.albicans(MTCC277):15.6;C.albicans(MTCC854):31.2;C.albicans(MTCC1637):15.6;C.albicans(MTCC3018):15.6;C.albicans(MTCC3958):15.6;C.albicans(MTCC4748):7.8;C.albicans(MTCC7315):15.6;C.parapsilosis(MTCC1744):15.6;C.aaseri(MTCC1962):7.8;C.glabrata(MTCC3019):15.6;C.krusei(MTCC3020):31.2;Issatchenikiahanoiensis(MTCC4755):15.6;MIC(ug/mL)"
AB.82;AB.82;AB.82;AB.82;"E.coli(MTCC739):>125;P.aeruginosa(MTCC2453):>125;K.planticola(MTCC530):>125;S.aureus(MTCC96):>125;B.subtilis(MTCC121):>125;S.aureus(mLS16MTCC2940):>125;M.luteus(MTCC2470):>125;C.albicans(MTCC3017):>125;MIC(ug/mL)"
AB.83;AB.83;AB.83;AB.83;"E.coli(MTCC739):>125;P.aeruginosa(MTCC2453):>125;K.planticola(MTCC530):>125;S.aureus(MTCC96):>125;B.subtilis(MTCC121):>125;S.aureus(mLS16MTCC2940):>125;M.luteus(MTCC2470):>125;C.albicans(MTCC3017):>125;MIC(ug/mL)"
AB.84;AB.84;AB.84;AB.84;"E.coli(MTCC739):>125;P.aeruginosa(MTCC2453):>125;K.planticola(MTCC530):>125;S.aureus(MTCC96):3.9;B.subtilis(MTCC121):7.8;S.aureus(mLS16MTCC2940):3.9;M.luteus(MTCC2470):7.8;C.albicans(MTCC3017):15.6;C.albicans(MTCC183):15.6;C.albicans(MTCC277):15.6;C.albicans(MTCC854):31.2;C.albicans(MTCC1637):31.2;C.albicans(MTCC3018):15.6;C.albicans(MTCC3958):15.6;C.albicans(MTCC4748):15.6;C.albicans(MTCC7315):15.6;C.parapsilosis(MTCC1744):15.6;C.aaseri(MTCC1962):15.6;C.glabrata(MTCC3019):31.2;C.krusei(MTCC3020):31.2;Issatchenikiahanoiensis(MTCC4755):15.6;MIC(ug/mL)"
